feature,importance
card1,1717
TransactionDay,1045
TransactionAmt,971
C13,774
D1,580
D15,560
D10,555
C1,537
D4,527
D2,526
C2,410
C14,390
TransactionHour,384
TransactionAmt_decimal,370
C6,325
C9,320
C5,316
D3,313
D11,311
C11,310
D5,284
TransactionAmt_log,223
TransactionWeek,128
C12,127
M6_F,127
card6_credit,123
C8,105
card6_debit,102
M4_M0,99
ProductCD_R,91
P_email_group_other,89
card4_mastercard,89
M6_T,89
P_email_group_anonymous,87
ProductCD_H,86
M4_Missing,85
P_email_group_yahoo,83
P_email_group_gmail,82
DeviceType_mobile,81
R_email_group_hotmail,80
TransactionAmt_cents,78
R_email_group_anonymous,78
C10,71
M4_M1,70
R_email_group_gmail,61
R_email_group_yahoo,58
card4_visa,57
P_email_group_hotmail,54
P_email_group_Missing,53
M4_M2,49
C3,49
same_email_domain_0,48
P_email_group_aol,47
C4,46
card4_discover,44
id_36_T,43
id_37_F,43
C7,41
P_email_group_mail,35
M6_Missing,33
R_email_group_outlook,31
card4_american express,30
R_email_group_mail,29
id_37_T,24
DeviceType_desktop,24
R_email_group_other,24
R_email_group_apple,22
id_35_F,22
ProductCD_C,21
P_email_group_apple,21
id_38_F,19
same_email_domain_1,19
id_36_F,18
R_email_group_Missing,16
P_email_missing_0,15
ProductCD_S,15
id_35_T,15
R_email_group_aol,15
P_email_group_outlook,12
has_identity_0,10
ProductCD_W,8
TransactionAmt_is_round_0,6
card4_Missing,6
id_38_T,4
P_email_missing_1,3
DeviceType_Missing,3
card6_Missing,2
id_35_Missing,2
R_email_missing_0,2
TransactionAmt_is_round_1,1
has_identity_1,1
id_36_Missing,1
card6_debit or credit,0
id_37_Missing,0
card6_charge card,0
id_38_Missing,0
R_email_missing_1,0
