threshold,accuracy,precision,recall,f1
0.5,0.8910404036983101,0.20069345298796656,0.7263779527559056,0.31449422042294783
0.51,0.8950028787211705,0.20600888638126807,0.71875,0.3202324179137203
0.52,0.8986774816269855,0.2113797385143525,0.7121062992125984,0.32599267811883975
0.53,0.9021404138585024,0.2165229232864276,0.7042322834645669,0.3312116653165143
0.54,0.9054509432045247,0.22182188454609542,0.6968503937007874,0.33652189412393796
0.55,0.9085159345683612,0.22688598979013047,0.6889763779527559,0.3413593416641268
0.56,0.911648660547973,0.2326479227864037,0.6820866141732284,0.346955378934852
0.5700000000000001,0.9144935144105395,0.2378138847858198,0.6734744094488189,0.35150581134014
0.5800000000000001,0.9173214346191622,0.24391339502290899,0.6680610236220472,0.35735439289239884
0.5900000000000001,0.9200985538659532,0.2500697739324588,0.6614173228346457,0.3629244582461352
0.6000000000000001,0.9228079384969688,0.25681008759264606,0.656496062992126,0.36919670656611087
0.6100000000000001,0.9253818538964338,0.26323661381992225,0.6496062992125984,0.37465408358759666
0.6200000000000001,0.9277525654485725,0.26947281543381824,0.6427165354330708,0.3797339536236098
0.6300000000000001,0.9299624072882446,0.2755493919351398,0.6355807086614174,0.38443220717368654
0.6400000000000001,0.932036779896366,0.2815084353291432,0.6281988188976378,0.38879159369527144
0.6500000000000001,0.9344667592373083,0.28931682714351215,0.6210629921259843,0.39474507350641225
0.6600000000000001,0.9366342669421208,0.29686386315039204,0.6149114173228346,0.4004165999038616
0.6700000000000002,0.9389880448403156,0.30561742143033904,0.6077755905511811,0.4067182611559361
0.6800000000000002,0.9412402208148474,0.3143557965401498,0.5991633858267716,0.4123624047417443
0.6900000000000002,0.9428912520743726,0.3203323951212974,0.5880905511811023,0.41475054229934927
0.7000000000000002,0.9447962881430555,0.32887402452619846,0.5807086614173228,0.4199288256227758
0.7100000000000002,0.94675212517357,0.33789887804167273,0.5706200787401575,0.4244531893474879
0.7200000000000002,0.948640227588309,0.34736200060994205,0.5605314960629921,0.4289211071361326
0.7300000000000002,0.9504944626951604,0.3577015163607342,0.5514271653543307,0.43392390357246585
0.7400000000000002,0.952306363667152,0.36852689793866267,0.5410925196850394,0.43844083341640916
0.7500000000000002,0.9539489280997053,0.37940712155762146,0.5322342519685039,0.443010752688172
0.7600000000000002,0.9552866867612694,0.3880816626816259,0.5191929133858267,0.44416377223450165
0.7700000000000002,0.9572255901378399,0.40385363954846243,0.5105807086614174,0.45098891545316233
0.7800000000000002,0.9585972161072916,0.4153688524590164,0.4987696850393701,0.4532647584973166
0.7900000000000003,0.9601127781352661,0.43023506577528575,0.4908956692913386,0.4585679806918745
0.8000000000000003,0.9614844041047177,0.44504871969181964,0.48326771653543305,0.46337147575793325
0.8100000000000003,0.962559691130152,0.4574012375059495,0.4729330708661417,0.46503750302443747
0.8200000000000003,0.963567243539811,0.46989166036785085,0.45890748031496065,0.4643346196937632
0.8300000000000003,0.9648542012395435,0.488265443755058,0.4453740157480315,0.4658345129326985
0.8400000000000003,0.9658786873031463,0.504862700228833,0.4343011811023622,0.4669312169312169
0.8500000000000003,0.9670979103871034,0.5272838749233599,0.42322834645669294,0.46956046956046954
0.8600000000000003,0.9680377281809869,0.547642598087702,0.40871062992125984,0.46808510638297873
0.8700000000000003,0.968918278186067,0.56975505857295,0.39493110236220474,0.46650196192413895
0.8800000000000003,0.9696040911707928,0.5899772209567198,0.3823818897637795,0.4640191101821439
0.8900000000000003,0.9705608426186203,0.6219360199418363,0.36835629921259844,0.46267964765878533
0.9000000000000004,0.9714921935855318,0.6583371194911404,0.35654527559055116,0.46256983240223465
