feature,importance
V44,53
M2,53
V24,52
V267,52
V131,52
M8,51
id_04,50
V91,50
V90,50
V169,48
id_36,48
id_26,46
V271,46
uid_card1_addr1_ProductCD_count,45
V316,45
C7,45
V124,44
V25,43
V291,43
V332,43
V81,41
V133,41
uid_card1_card2_addr1_ProductCD_count,40
V135,40
V143,40
V30,39
V48,39
V66,39
V129,38
id_11,38
V209,38
ProductCD_TransactionAmt_min,38
V224,38
V306,37
V234,37
V203,36
V264,36
V128,36
V259,36
V221,35
V189,35
V26,34
V208,34
V4,34
id_07,33
V152,33
V52,33
card1_addr1_count,33
V277,32
V245,32
V276,32
V96,32
V79,31
V318,31
V274,31
V126,31
V207,31
V220,31
V158,30
V36,30
id_25,30
V201,30
TransactionAmt_log,30
V47,30
V268,29
V99,29
V321,29
V159,29
V270,29
V29,29
V272,28
id_15,28
V40,27
V336,27
V206,27
V6,26
V278,26
id_16,25
V64,25
id_34,24
id_37,24
id_21,24
V137,24
V102,24
V205,24
V298,23
ProductCD,23
id_38,23
V256,22
V251,22
ProductCD_TransactionAmt_max,22
V11,22
V289,22
V10,21
V217,21
V229,21
V2,21
V108,21
V319,21
id_18,20
V243,20
V263,20
V34,20
V262,19
V265,19
V300,19
V222,19
V184,19
V292,18
V178,18
V333,18
V150,18
V293,18
ProductCD_TransactionAmt_std,17
V244,17
V162,17
V7,17
V43,17
V212,17
V147,16
V197,16
V210,16
V215,16
V58,15
V60,15
V63,15
V59,15
V69,15
V125,15
V170,15
V171,15
V164,14
V286,14
id_08,14
V275,14
V227,14
V51,14
V280,13
V115,13
V216,13
V166,13
V324,13
V219,13
id_10,13
V134,13
V73,12
V74,12
V109,12
V132,12
V145,12
V46,12
addr2,12
V57,12
V85,12
V163,12
V323,12
V301,12
V157,11
V303,11
V80,11
V204,11
V211,11
V105,11
V8,11
V214,11
V123,10
V223,10
V295,10
V257,10
V304,10
V3,10
V182,10
V248,10
id_29,9
V331,9
V260,9
V71,9
V232,9
id_28,9
V17,9
id_23,9
addr2_count,9
V233,9
V72,9
V290,9
V253,9
V144,9
V288,8
V334,8
V185,8
V42,8
V9,8
V39,8
V230,8
V302,8
V161,8
V190,7
V337,7
id_35,7
V94,7
V180,7
V279,7
V287,7
V339,7
V255,7
V103,7
V225,7
id_32,7
V239,7
V50,7
V97,6
V246,6
M1,6
V173,6
V172,6
V338,6
V238,6
V140,6
V202,6
V92,6
V93,6
V18,6
V335,6
V299,6
V200,6
V188,6
V111,6
id_12,5
V231,5
V15,5
V33,5
V31,5
ProductCD_TransactionAmt_median,5
V235,5
V213,5
V273,5
V153,5
V176,4
V22,4
V177,4
V154,4
V297,4
V167,4
TransactionAmt_is_round,4
V228,4
V151,4
P_email_missing,3
V106,3
V242,3
V146,3
V249,3
V218,3
V327,3
V98,3
V175,3
V330,3
V21,3
V322,2
V155,2
V284,2
V194,2
V186,2
V237,2
V247,2
V95,2
V199,2
V179,2
V191,2
V141,2
V236,2
V226,1
V183,1
V84,1
V16,1
V250,1
V329,1
V269,1
V328,1
V192,1
V32,1
V181,1
V193,1
V100,1
R_email_missing,1
V198,1
V101,1
V104,1
id_24,1
V121,1
V196,1
V142,1
V148,1
V240,1
V110,1
V254,0
V252,0
V325,0
V326,0
V174,0
V168,0
V305,0
V1,0
V28,0
V27,0
V195,0
id_22,0
id_27,0
V120,0
V138,0
V241,0
V112,0
V107,0
V119,0
has_identity,0
V122,0
V114,0
V116,0
V113,0
V89,0
V88,0
V118,0
V117,0
V14,0
V41,0
V65,0
V68,0
