feature,importance
card1,1180
TransactionDT,1140
card2_addr1_count,1028
card1_TransactionAmt_mean,1002
C13,921
card1_addr1_count,899
card1_TransactionAmt_std,836
addr1,787
card1_P_emaildomain_count,786
card2,751
card1_TransactionAmt_median,739
D15,685
card1_count,631
D1,631
card2_TransactionAmt_std,630
addr1_TransactionAmt_std,612
addr1_ProductCD_count,608
card1_ProductCD_count,597
card2_count,588
card2_ProductCD_count,587
addr1_TransactionAmt_mean,575
card1_R_emaildomain_count,567
D10,551
C1,543
addr1_count,541
TransactionDay,536
card2_TransactionAmt_mean,504
dist1,490
D2,478
TransactionAmt_minus_addr1_mean,440
TransactionAmt_minus_P_emaildomain_mean,423
TransactionAmt_decimal,403
TransactionHour,402
D4,401
TransactionAmt_minus_card1_mean,395
TransactionAmt_minus_ProductCD_mean,386
P_emaildomain_ProductCD_count,379
C14,369
TransactionAmt_ratio_addr1_mean,369
TransactionAmt_minus_card2_mean,366
addr1_TransactionAmt_median,361
card2_TransactionAmt_median,359
TransactionAmt_ratio_card2_mean,352
C2,351
id_02,349
TransactionAmt_ratio_card1_mean,347
TransactionAmt_ratio_ProductCD_mean,331
TransactionAmt_ratio_P_emaildomain_mean,319
C6,313
P_emaildomain,303
id_20,299
C11,297
D8,289
P_emaildomain_TransactionAmt_mean,277
card5,277
P_emaildomain_TransactionAmt_std,267
M5,265
D3,263
V313,253
D11,251
C9,249
C5,244
card5_count,233
P_email_group,232
id_19,226
M6,221
TransactionAmt,219
M4,212
V310,192
screen_height,178
R_emaildomain,177
card3_count,168
D5,166
P_emaildomain_TransactionAmt_median,163
id_05,158
id_06,152
dist2,150
DeviceInfo_group,147
V53,147
id_01,146
V315,144
card6,131
V285,125
V314,122
V307,118
C10,112
V54,109
V83,108
V312,107
V165,106
card4,106
C12,105
D13,104
V62,100
V45,100
C8,99
V82,99
TransactionAmt_cents,95
Browser_group,95
V76,95
V258,94
V87,94
V320,93
V281,93
V283,90
id_14,88
M3,88
V130,87
V294,84
V13,81
OS_group,79
card3,77
ProductCD_TransactionAmt_mean,77
R_email_group,76
D9,72
V38,71
id_13,71
V308,71
V317,70
screen_width,70
V20,70
D6,69
V75,67
V61,65
V311,65
V78,64
V55,62
V136,62
V12,61
id_17,61
V86,60
V56,59
C3,58
V67,57
id_09,54
V160,54
M7,52
V309,51
V156,50
TransactionAmt_log,50
V5,50
V282,49
same_email_domain,49
V261,48
V77,48
V19,48
TransactionWeek,47
V296,47
V35,45
V37,44
D14,44
V49,44
M2,43
DeviceType,42
M8,42
V271,42
V131,41
V291,41
D12,41
V24,40
V91,39
V187,38
V48,38
V36,38
V66,37
id_03,37
V4,37
V127,36
V69,36
V70,36
V316,35
V124,35
M9,35
V29,35
V99,35
V319,35
V23,35
V129,34
C4,34
V143,33
V267,33
V266,33
id_04,33
V133,32
V169,32
V152,32
V224,31
V25,31
V90,30
V44,30
V26,30
id_26,30
V47,30
V139,30
V332,29
V81,29
V306,29
id_25,29
V96,27
V289,27
V149,27
id_36,27
id_15,26
V207,26
V10,26
D7,25
V164,25
V11,24
id_34,24
V234,24
V6,24
V102,24
V135,24
V206,23
V203,23
V189,23
ProductCD_TransactionAmt_std,22
ProductCD,22
V30,22
V321,22
ProductCD_TransactionAmt_median,21
V318,21
V209,21
V300,21
V2,20
V274,20
V108,19
V270,19
V272,19
V264,19
V259,19
C7,19
V7,19
V145,19
V52,19
id_16,18
id_11,18
V40,18
V277,17
V221,17
V126,16
V333,16
id_21,16
V336,16
V298,16
V288,16
V245,16
V159,16
V201,15
V304,15
V132,15
V280,15
V293,15
id_07,15
V184,15
id_37,14
V63,14
V8,14
V79,14
V137,14
V215,14
id_38,14
V217,13
V222,13
V220,13
V295,13
V43,13
V251,13
V34,12
V268,12
V278,12
V125,12
V303,12
V208,12
V109,12
V64,12
id_18,12
addr2_count,12
V73,12
V158,11
V256,11
V123,11
V216,11
V205,11
V51,11
id_10,11
V115,11
id_32,11
addr2,11
V324,11
V162,11
V74,10
V276,10
V142,10
V302,10
V286,10
V144,9
V59,9
V140,9
V262,9
V150,9
V80,9
V223,9
V33,9
V232,8
V210,8
V166,8
V301,8
V71,8
V331,8
V42,8
V60,8
V57,8
V265,8
V227,7
id_12,7
V337,7
V180,7
V334,7
V279,7
V128,7
V287,7
id_08,7
V161,7
V212,7
V230,7
V243,7
V97,7
V255,7
V103,6
V171,6
V200,6
V84,6
V257,6
V263,6
V253,6
V58,6
V3,6
id_29,6
id_23,6
V105,6
V72,6
V219,6
V170,6
V197,6
V236,5
V157,5
V260,5
V134,5
V233,5
V239,5
V248,5
M1,5
V163,5
V85,5
V9,5
V202,5
V178,5
V46,5
V338,5
V244,5
V213,5
V39,5
V21,5
V116,5
V172,5
V176,4
V181,4
V185,4
V95,4
TransactionAmt_is_round,4
V94,4
V168,4
V225,4
V228,4
V231,4
V339,4
V175,4
V297,4
V323,4
V326,4
V148,3
V146,3
V329,3
V335,3
V17,3
P_email_missing,3
V182,3
V177,3
V238,3
V92,3
V214,3
V218,3
id_35,3
V292,3
V167,3
V31,3
V284,3
V50,3
V246,2
V151,2
V211,2
V199,2
V100,2
V93,2
V173,2
V174,2
V299,2
V290,2
V322,2
V112,2
V111,2
id_27,2
V188,2
V110,2
V249,2
V229,2
V235,2
V193,1
V226,1
V190,1
V101,1
id_28,1
V22,1
V18,1
V114,1
V106,1
V186,1
V183,1
V204,1
V155,1
V273,1
V141,1
V179,1
id_22,1
V32,1
V118,1
V154,1
V153,1
V192,1
V242,1
V250,1
V138,1
V15,0
V14,0
V237,0
V241,0
V240,0
V28,0
V89,0
V27,0
V98,0
V88,0
V196,0
V195,0
V194,0
V198,0
V254,0
V252,0
V191,0
V247,0
V325,0
V305,0
V327,0
V275,0
V269,0
V147,0
V119,0
V120,0
V41,0
V122,0
V121,0
V330,0
V328,0
V117,0
id_24,0
V104,0
V113,0
V107,0
has_identity,0
V16,0
R_email_missing,0
V1,0
V68,0
V65,0
