model,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,logloss
LightGBM Baseline v7 Final,0.5,0.9599773089037152,0.4429208090503942,0.6362964786998276,0.5222839818089945,0.9251932635582896,0.5977154532126074,0.13210843399656017
XGBoost v7 Final,0.5,0.9273292240999763,0.28035748979988345,0.7106623984240334,0.4020898641588297,0.9222553804099485,0.5495022749597348,0.23100337720297354
CatBoost v7 Final,0.5,0.8935804517898872,0.20886942239255407,0.7515390297956168,0.3268890912011996,0.9111977808014872,0.5091054720339536,0.3048578305791951
