threshold,accuracy,precision,recall,f1
0.5,0.9546093406035154,0.40181268882175225,0.6550110810145284,0.4980807040539275
0.51,0.9560063670538829,0.41159059043464713,0.6505786752031519,0.5041984732824427
0.52,0.9573610593693908,0.421585973942416,0.6454075350898794,0.5100214049425958
0.53,0.9586988180309547,0.4322890767445715,0.6422063531149963,0.5167426193778483
0.54,0.9600450435194906,0.44356775300171525,0.636788968234425,0.5228996057021534
0.55,0.9610525959291496,0.45241038318912236,0.6308790938192563,0.5269436445907034
0.56,0.9621363497815558,0.46262956901254776,0.6264466880078798,0.5322175732217573
0.5700000000000001,0.9631947031530463,0.4731505820503192,0.6205368135927112,0.5369127516778524
0.5800000000000001,0.9641853219087615,0.48363988383349465,0.6151194287121399,0.5415131151094732
0.5900000000000001,0.9651505401835608,0.4945054945054945,0.6094557990642698,0.5459960291197882
0.6000000000000001,0.9659210214380058,0.5037159372419489,0.6008372322088156,0.5480067377877597
0.6100000000000001,0.9668777728858333,0.5159290143254223,0.5941886234917508,0.552300297550927
0.6200000000000001,0.9677921901988011,0.5283852440910095,0.5890174833784783,0.5570563577084303
0.6300000000000001,0.9686219392420496,0.540497376226329,0.5833538537306082,0.5611084793936523
0.6400000000000001,0.9694516882852982,0.5534072152794153,0.5779364688500369,0.5654059262828234
0.6500000000000001,0.9701205676160802,0.5647201946472019,0.5715341049002709,0.5681067188838576
0.6600000000000001,0.9708656483896095,0.577850326469111,0.5666092095542969,0.5721745617306975
0.6700000000000002,0.9714159921427846,0.5885241664512794,0.5606993351391283,0.5742749054224464
0.6800000000000002,0.9718393334913807,0.5975059697532502,0.5545432159566609,0.5752234993614304
0.6900000000000002,0.9725505469570224,0.6125309150865622,0.548879586308791,0.578961038961039
0.7000000000000002,0.9730331560944221,0.6244318181818181,0.5412459985225314,0.579870729455217
0.7100000000000002,0.973481897923934,0.6364972083455774,0.5333661659689731,0.5803858520900321
0.7200000000000002,0.9738036373488671,0.6465595635040922,0.5252400886481162,0.5796195652173913
0.7300000000000002,0.9740999762928845,0.6570532915360502,0.5161290322580645,0.5781271548751896
0.7400000000000002,0.9745487181223964,0.6717681536958645,0.5080029549372076,0.5785193494111048
0.7500000000000002,0.9749212585091611,0.6852039096730704,0.5006156119182468,0.5785429709732498
0.7600000000000002,0.975149862837403,0.6960306406685237,0.49224328983009114,0.5766623395355546
0.7700000000000002,0.9754800690893081,0.7097587324450846,0.48534843634572766,0.5764843521497514
0.7800000000000002,0.9757425407254378,0.7231343283582089,0.4772223590248707,0.5749888740542947
0.7900000000000003,0.9759203440918481,0.7353965183752418,0.46811130263481904,0.5720734276256395
0.8000000000000003,0.9758695431300166,0.7430750702529105,0.45579906426988426,0.565018315018315
0.8100000000000003,0.9759542113997358,0.7525858502275549,0.447919231716326,0.5615930842852732
0.8200000000000003,0.9759711450536797,0.7616602481814292,0.4383156857916769,0.5564238824632698
0.8300000000000003,0.976055813323399,0.7731501993797075,0.4296971189362226,0.5523899968344412
0.8400000000000003,0.9760304128424832,0.780565693430657,0.42132479684806695,0.5472573164880857
0.8500000000000003,0.976055813323399,0.7914893617021277,0.4122137404580153,0.542098445595855
0.8600000000000003,0.9759542113997358,0.7988252569750367,0.4018714602314701,0.5347313237221494
0.8700000000000003,0.9758441426491008,0.8072227873855544,0.3907904457030288,0.5266301642608263
0.8800000000000003,0.9757256070714939,0.812565445026178,0.3821718788475745,0.5198459219561212
0.8900000000000003,0.9756155383208589,0.8249862410566868,0.36912090618074367,0.5100374276964954
0.9000000000000004,0.9755393368781116,0.8379469434832757,0.3577936468850037,0.5014667817083693
