threshold,accuracy,precision,recall,f1
0.5,0.9167118230771836,0.25375170532060026,0.732824427480916,0.3769713091392742
0.51,0.9193704067463677,0.25934085301374693,0.7246983501600591,0.3819845544811474
0.52,0.9217665187794222,0.26444100791412717,0.7158335385373061,0.3862096452770028
0.53,0.9244251024486063,0.270583797038574,0.7064762373799557,0.3912984178941626
0.54,0.9273122904460325,0.2787991394484647,0.7020438315685792,0.39910408063274305
0.55,0.9296660683442273,0.2853387259858443,0.694902733316917,0.40455881298831625
0.56,0.9318674433569275,0.2919189809981207,0.688500369367151,0.410000733191583
0.5700000000000001,0.9341619534663189,0.29925429590403113,0.6818517606500862,0.4159531320414601
0.5800000000000001,0.9365411318454296,0.3075543600089666,0.6756956414676188,0.42270661634445045
0.5900000000000001,0.9386409049344667,0.31545412418906393,0.6705245013543463,0.42905538485779565
0.6000000000000001,0.9407830121583636,0.32388615347664224,0.6641221374045801,0.43542137552470134
0.6100000000000001,0.9426795814000745,0.33138304493962406,0.6555035705491258,0.44021829006118735
0.6200000000000001,0.9444491482372066,0.33904197785217616,0.6483624722974637,0.44525238860235056
0.6300000000000001,0.9465573881532157,0.34902749832327296,0.6407288845112041,0.45189301840916984
0.6400000000000001,0.9482422867206286,0.35734149054505004,0.6328490519576458,0.45676708433306673
0.6500000000000001,0.9500457208656484,0.3672202166064982,0.6262004432405811,0.4629528490806481
0.6600000000000001,0.9516205506824262,0.37621686386101544,0.6185668554543216,0.46787111193890857
0.6700000000000002,0.9531869136722322,0.38541991882610055,0.6079783304604777,0.47176841501863
0.6800000000000002,0.9546770752192908,0.3952998379254457,0.6005909874415168,0.47678623790440816
0.6900000000000002,0.9562095709012091,0.40589530747077757,0.590002462447673,0.4809313528703332
0.7000000000000002,0.9578013343719308,0.4183041246238272,0.581876385126816,0.4867147270854789
0.7100000000000002,0.9592830290920175,0.4306122448979592,0.5715341049002709,0.4911649560893027
0.7200000000000002,0.9609001930436549,0.44567973473766337,0.5626692932775178,0.4973878972572921
0.7300000000000002,0.9623226199749382,0.4601516082769924,0.5530657473528687,0.502348467904272
0.7400000000000002,0.9636857791174179,0.47547332185886404,0.5442009357301157,0.507520955333563
0.7500000000000002,0.9648372675855996,0.48962093862815886,0.5343511450381679,0.5110090662898857
0.7600000000000002,0.9660988248044163,0.5068035330627835,0.5227776409751292,0.5146666666666667
0.7700000000000002,0.9671233108680191,0.5224861040929762,0.509234178773701,0.5157750342935528
0.7800000000000002,0.9680546618349307,0.538359083644113,0.4976606747106624,0.5172104926423544
0.7900000000000003,0.9687489416466285,0.5516471245114462,0.48657966018222115,0.5170744472065942
0.8000000000000003,0.9694008873234666,0.5653317743349898,0.47623737995567594,0.5169740711039829
0.8100000000000003,0.969917363768754,0.5781538461538461,0.46269391775424773,0.5140199699083573
0.8200000000000003,0.9706539777153114,0.5964343598055105,0.4530903718295986,0.5149734116988525
0.8300000000000003,0.9711535205066549,0.6116803278688525,0.44102437823196255,0.512519673773072
0.8400000000000003,0.9716615301249704,0.6285097192224622,0.4299433637035213,0.5106009650533704
0.8500000000000003,0.9721695397432858,0.647484756097561,0.4183698596404826,0.5083021690351534
0.8600000000000003,0.9728807532089274,0.6734033953112368,0.4102437823196257,0.5098699311400153
0.8700000000000003,0.9734226301351305,0.6983648881239243,0.39965525732578183,0.5083790133124511
0.8800000000000003,0.9738121041758391,0.7234533702677747,0.3858655503570549,0.503292114983138
0.8900000000000003,0.9742354455244353,0.7495098039215686,0.3765082491997045,0.5012293066710375
0.9000000000000004,0.9743455142750703,0.766133195663397,0.36542723467126326,0.4948316105368456
