threshold,accuracy,precision,recall,f1
0.5,0.9599773089037152,0.4429208090503942,0.6362964786998276,0.5222839818089945
0.51,0.9611965319876723,0.4538379908029713,0.6318640728884511,0.5282552753474009
0.52,0.962237951705219,0.4636810486073184,0.6271854223097759,0.5331798199706929
0.53,0.9633217055576252,0.4745635442087479,0.6225067717311007,0.5385598636557307
0.54,0.9642107223896772,0.483976833976834,0.6173356316178281,0.5425819716480901
0.55,0.9650828055677854,0.49375371802498513,0.6131494705737504,0.54701230228471
0.56,0.9658956209570901,0.5033625433054819,0.6082245752277764,0.5508474576271186
0.5700000000000001,0.9667253700003386,0.5137287780339551,0.6035459246491012,0.5550271739130435
0.5800000000000001,0.9675297185626714,0.5243429556225765,0.5993597636050234,0.5593473514879926
0.5900000000000001,0.968249398855285,0.5343494588027391,0.595666092095543,0.563344201210992
0.6000000000000001,0.9689521454939547,0.5446712018140589,0.5914799310514651,0.5671113209774525
0.6100000000000001,0.9696548921326243,0.555659276546091,0.5863087909381925,0.5705727294512342
0.6200000000000001,0.9703068378094625,0.5663950143815916,0.581876385126816,0.5740313373011053
0.6300000000000001,0.9710349849290479,0.5792471520554731,0.5759665107116474,0.577602173107791
0.6400000000000001,0.97148372675856,0.587966488956588,0.5703028810637774,0.579
0.6500000000000001,0.9719748027229316,0.5979139504563233,0.5646392514159074,0.5808004052684904
0.6600000000000001,0.9725082128221628,0.6089983931440814,0.5599606008372322,0.5834509300833868
0.6700000000000002,0.9729992887865344,0.6200440528634361,0.5545432159566609,0.5854673079422852
0.6800000000000002,0.9733464286923832,0.6287729196050775,0.548879586308791,0.5861162240336576
0.6900000000000002,0.9739052392725303,0.6425866588989222,0.5432159566609209,0.5887376567921003
0.7000000000000002,0.9744386493717614,0.6563625450180072,0.5385373060822457,0.5916407412417152
0.7100000000000002,0.9747519219697226,0.6665637542451374,0.5316424525978823,0.5915068493150685
0.7200000000000002,0.9749551258170488,0.6754692968501432,0.5227776409751292,0.5893947806774015
0.7300000000000002,0.9751244623564873,0.6840380203212062,0.5139128293523763,0.5868953880764904
0.7400000000000002,0.9754377349544485,0.6955495616992583,0.5080029549372076,0.5871637967838338
0.7500000000000002,0.9757171402445219,0.7067590987868284,0.5020930805220389,0.5871004894903542
0.7600000000000002,0.9759880787076235,0.7177390686100249,0.49716818517606504,0.5874308990398603
0.7700000000000002,0.9762844176516409,0.7309384164222874,0.49101206599359765,0.5874208278096922
0.7800000000000002,0.9764114200562197,0.7415687760515347,0.4819010096035459,0.5841791044776119
0.7900000000000003,0.9764876214989671,0.750390015600624,0.47377493228268897,0.5808301886792453
0.8000000000000003,0.9766992921732651,0.7635924285138945,0.46688007879832555,0.5794621026894865
0.8100000000000003,0.9767077590002371,0.7717842323651453,0.4580152671755725,0.5748725081131201
0.8200000000000003,0.9767500931350966,0.7811030354852501,0.4498891898547156,0.5709375
0.8300000000000003,0.9767331594811528,0.7885714285714286,0.44176311253385864,0.5662878787878788
0.8400000000000003,0.9767416263081248,0.7991803278688525,0.43215956660920957,0.5609717116829152
0.8500000000000003,0.9766738916923494,0.8051401869158878,0.42427973405565134,0.5557168198677632
0.8600000000000003,0.9766315575574898,0.814707305273343,0.4146761881310022,0.5496083550913838
0.8700000000000003,0.9766315575574898,0.8250874562718641,0.4065501108101453,0.5447047179148796
0.8800000000000003,0.9764622210180512,0.831693423096841,0.395469096281704,0.5360480640854473
0.8900000000000003,0.9763352186134724,0.8410560344827587,0.3843880817532627,0.527632246070644
0.9000000000000004,0.9761235479391743,0.8480089736399327,0.3723220881556267,0.5174537987679672
