feature,importance
card1_count,1448
card1,1306
TransactionDay,1028
TransactionAmt,886
C13,669
D15,588
D1,570
C1,506
D2,489
D10,483
D4,453
C14,402
C2,379
TransactionAmt_decimal,354
TransactionHour,347
C9,292
C6,278
D3,275
D11,264
C5,252
C11,249
D5,216
TransactionAmt_log,210
M6_F,130
TransactionWeek,115
C12,114
C8,100
card6_credit,99
card6_debit,98
M4_M0,98
ProductCD_H,89
ProductCD_R,88
C10,86
P_email_group_gmail,85
M4_Missing,81
M6_T,81
DeviceType_mobile,80
card4_mastercard,74
TransactionAmt_cents,74
P_email_group_yahoo,72
P_email_group_other,71
R_email_group_hotmail,69
P_email_group_anonymous,68
R_email_group_anonymous,68
M4_M1,64
R_email_group_gmail,59
C4,53
P_email_group_hotmail,52
P_email_group_Missing,52
C3,50
R_email_group_yahoo,50
P_email_group_aol,48
same_email_domain_0,44
M4_M2,44
card4_visa,44
card4_discover,38
id_37_F,36
C7,35
P_email_group_mail,34
id_36_T,32
id_37_T,29
id_35_F,27
M6_Missing,26
id_36_F,26
P_email_group_apple,25
id_38_F,25
R_email_group_Missing,25
DeviceType_desktop,24
R_email_group_mail,24
ProductCD_C,21
R_email_group_apple,21
card4_american express,21
R_email_group_other,20
R_email_group_outlook,19
P_email_missing_0,17
P_email_group_outlook,15
id_35_T,14
id_38_T,13
R_email_group_aol,13
ProductCD_W,12
ProductCD_S,11
card4_Missing,11
DeviceType_Missing,9
same_email_domain_1,8
TransactionAmt_is_round_0,8
has_identity_0,7
card6_Missing,4
P_email_missing_1,3
R_email_missing_0,2
R_email_missing_1,1
id_37_Missing,0
id_36_Missing,0
id_35_Missing,0
card6_charge card,0
card6_debit or credit,0
id_38_Missing,0
has_identity_1,0
TransactionAmt_is_round_1,0
