ensemble_name,weights,roc_auc,pr_auc,logloss,f1_0_50
LightGBM_XGBoost_CatBoost,"LightGBM:0.70, XGBoost:0.20, CatBoost:0.10",0.9292235986283748,0.5904929160174203,0.1620658158530712,0.4980807040539275
LightGBM_XGBoost_CatBoost,"LightGBM:0.70, XGBoost:0.15, CatBoost:0.15",0.9292143833691672,0.5895551718064909,0.1647967863856836,0.4972530030729118
LightGBM_XGBoost_CatBoost,"LightGBM:0.65, XGBoost:0.20, CatBoost:0.15",0.9292047535528446,0.5880417286934437,0.1694544640836189,0.49210139603232916
LightGBM_XGBoost_CatBoost,"LightGBM:0.65, XGBoost:0.25, CatBoost:0.10",0.9292046585501723,0.5889618352894518,0.16669462643946378,0.49344655713494556
LightGBM_XGBoost_CatBoost,"LightGBM:0.75, XGBoost:0.15, CatBoost:0.10",0.9291444894713689,0.5918134356255125,0.1575417132962713,0.5038921587241314
LightGBM_XGBoost_CatBoost,"LightGBM:0.75, XGBoost:0.10, CatBoost:0.15",0.9291129636982461,0.5908765716087685,0.160243461202385,0.5026455026455027
LightGBM_XGBoost_CatBoost,"LightGBM:0.60, XGBoost:0.25, CatBoost:0.15",0.9291086389175074,0.5863574788546823,0.1742147792935297,0.48741315528286566
LightGBM_XGBoost_CatBoost,"LightGBM:0.60, XGBoost:0.30, CatBoost:0.10",0.9290985513610367,0.5872395430196903,0.17142634820402422,0.48792445977846377
LightGBM_XGBoost_CatBoost,"LightGBM:0.65, XGBoost:0.15, CatBoost:0.20",0.9290890770036323,0.5870524828282842,0.17227323684177248,0.49100374463421315
LightGBM_XGBoost_CatBoost,"LightGBM:0.70, XGBoost:0.25, CatBoost:0.05",0.9290875008229336,0.5913534036120829,0.1593989666156902,0.5004701899567425
LightGBM_XGBoost_CatBoost,"LightGBM:0.70, XGBoost:0.10, CatBoost:0.20",0.9290756643536332,0.5885263800641694,0.16758859591321337,0.4957312546399406
LightGBM_XGBoost_CatBoost,"LightGBM:0.65, XGBoost:0.30, CatBoost:0.05",0.9290652550835676,0.5898084128795004,0.1639964832210606,0.4947192884936076
LightGBM_XGBoost_CatBoost,"LightGBM:0.75, XGBoost:0.20, CatBoost:0.05",0.9290125566694449,0.5927129496967,0.1549073444102613,0.5044289932374512
LightGBM_XGBoost_CatBoost,"LightGBM:0.60, XGBoost:0.20, CatBoost:0.20",0.9290059108006912,0.5854126359591317,0.17706075503613877,0.48575792973312965
LightGBM_XGBoost_CatBoost,"LightGBM:0.60, XGBoost:0.35, CatBoost:0.05",0.9289597395019819,0.5880391824098662,0.16869778849703243,0.4896099161502005
LightGBM_XGBoost_CatBoost,"LightGBM:0.75, XGBoost:0.05, CatBoost:0.20",0.9289464391278679,0.589833186045424,0.16300868413834835,0.5017887403502165
LightGBM_XGBoost_CatBoost,"LightGBM:0.80, XGBoost:0.10, CatBoost:0.10",0.9289404366863036,0.5929768368070796,0.1531260650957384,0.5067230119093353
LightGBM_XGBoost_CatBoost,"LightGBM:0.55, XGBoost:0.30, CatBoost:0.15",0.9289273198400794,0.5844588138482517,0.17907744627371702,0.4820111930354446
LightGBM_XGBoost_CatBoost,"LightGBM:0.55, XGBoost:0.35, CatBoost:0.10",0.9289127002243123,0.5853171894689672,0.1762605806733704,0.48343602107331013
LightGBM_XGBoost_CatBoost,"LightGBM:0.80, XGBoost:0.05, CatBoost:0.15",0.9288809758092386,0.5920398649087117,0.15579827535751667,0.5058834784272458
LightGBM_XGBoost_CatBoost,"LightGBM:0.65, XGBoost:0.10, CatBoost:0.25",0.9288625992696147,0.5859724920548913,0.17514968593453975,0.48900199963642976
LightGBM_XGBoost_CatBoost,"LightGBM:0.55, XGBoost:0.25, CatBoost:0.20",0.9288395935088708,0.5835109078404348,0.18195085397586505,0.47985865724381627
LightGBM_XGBoost_CatBoost,"LightGBM:0.70, XGBoost:0.05, CatBoost:0.25",0.9288197379503721,0.5874122977280708,0.1704398115519747,0.49330995663006366
LightGBM_XGBoost_CatBoost,"LightGBM:0.80, XGBoost:0.15, CatBoost:0.05",0.9288192111173715,0.5939310135717946,0.15052572138854514,0.5082425527812591
LightGBM_XGBoost_CatBoost,"LightGBM:0.60, XGBoost:0.15, CatBoost:0.25",0.9287998996650869,0.5843018822799408,0.17996320552858935,0.48372675250357655
LightGBM_XGBoost_CatBoost,"LightGBM:0.55, XGBoost:0.40, CatBoost:0.05",0.9287753047687344,0.5860897704341534,0.1735022257219617,0.48515295595227415
LightGBM_XGBoost_CatBoost,"LightGBM:0.75, XGBoost:0.25, CatBoost:0.00",0.9286867147768691,0.5934105690310377,0.15234845879906378,0.5053074495553218
LightGBM_XGBoost_CatBoost,"LightGBM:0.50, XGBoost:0.35, CatBoost:0.15",0.928677046095817,0.5823379810206174,0.1840432901731107,0.47531132979186624
LightGBM_XGBoost_CatBoost,"LightGBM:0.80, XGBoost:0.00, CatBoost:0.20",0.9286692256485701,0.590954874392729,0.15853777157747057,0.5052852109322922
LightGBM_XGBoost_CatBoost,"LightGBM:0.50, XGBoost:0.40, CatBoost:0.10",0.9286586889885577,0.5832028266631323,0.18119802882387412,0.4783447308434157
LightGBM_XGBoost_CatBoost,"LightGBM:0.55, XGBoost:0.20, CatBoost:0.25",0.9286526152949894,0.5824371904931591,0.18487991381889937,0.47809674304275307
LightGBM_XGBoost_CatBoost,"LightGBM:0.75, XGBoost:0.00, CatBoost:0.25",0.9286516933372384,0.5886719449264927,0.16583586929597152,0.49995317036620773
LightGBM_XGBoost_CatBoost,"LightGBM:0.50, XGBoost:0.30, CatBoost:0.20",0.9285952919780497,0.5813496296623019,0.18694440060190348,0.4745410460685833
LightGBM_XGBoost_CatBoost,"LightGBM:0.85, XGBoost:0.05, CatBoost:0.10",0.92857264679563,0.5939728504281795,0.14882570699579037,0.5103112840466926
LightGBM_XGBoost_CatBoost,"LightGBM:0.65, XGBoost:0.05, CatBoost:0.30",0.9285379384329872,0.5847385515433873,0.17808365440231888,0.48761525944675466
LightGBM_XGBoost_CatBoost,"LightGBM:0.50, XGBoost:0.45, CatBoost:0.05",0.9285252015974519,0.5840181271225507,0.17841028660100855,0.47976011994003
LightGBM_XGBoost_CatBoost,"LightGBM:0.60, XGBoost:0.10, CatBoost:0.30",0.9285052510362811,0.5831311382341874,0.18292197340613348,0.48139927195241056
LightGBM_XGBoost_CatBoost,"LightGBM:0.85, XGBoost:0.00, CatBoost:0.15",0.9284703116444125,0.5929804388806431,0.15146855841438997,0.5095874491574666
LightGBM_XGBoost_CatBoost,"LightGBM:0.85, XGBoost:0.10, CatBoost:0.05",0.9284671247365891,0.5948952004710333,0.14626126719668578,0.5116233639382692
LightGBM_XGBoost_CatBoost,"LightGBM:0.70, XGBoost:0.00, CatBoost:0.30",0.9284596281620887,0.5861539080617745,0.17335040983186678,0.4921042967315461
LightGBM_XGBoost_CatBoost,"LightGBM:0.50, XGBoost:0.25, CatBoost:0.25",0.9284206900213794,0.5803138052767426,0.18990063453661207,0.4723462727585022
LightGBM_XGBoost_CatBoost,"LightGBM:0.55, XGBoost:0.15, CatBoost:0.30",0.9283768570838979,0.5812776616137582,0.18786451936072082,0.47666404955072844
LightGBM_XGBoost_CatBoost,"LightGBM:0.45, XGBoost:0.40, CatBoost:0.15",0.9283520980920209,0.579991475676742,0.18911408768759008,0.46939471440750213
LightGBM_XGBoost_CatBoost,"LightGBM:0.45, XGBoost:0.45, CatBoost:0.10",0.9283345031652913,0.5808459966185481,0.18624035186572996,0.471427343817135
LightGBM_XGBoost_CatBoost,"LightGBM:0.45, XGBoost:0.35, CatBoost:0.20",0.928277836230451,0.578989383219183,0.19204323788519068,0.468077900084674
LightGBM_XGBoost_CatBoost,"LightGBM:0.50, XGBoost:0.50, CatBoost:0.00",0.9282708276242216,0.584719274176648,0.17568323994113083,0.4813108945969885
LightGBM_XGBoost_CatBoost,"LightGBM:0.45, XGBoost:0.50, CatBoost:0.05",0.928207516979779,0.5816356257582277,0.18342344975766894,0.4736478313461206
LightGBM_XGBoost_CatBoost,"LightGBM:0.50, XGBoost:0.20, CatBoost:0.30",0.928161457956955,0.5791850302859973,0.19291195674884196,0.4708795900939368
LightGBM_XGBoost_CatBoost,"LightGBM:0.60, XGBoost:0.05, CatBoost:0.35",0.9281230876731276,0.5818014232287374,0.18593769985618797,0.4802469135802469
LightGBM_XGBoost_CatBoost,"LightGBM:0.65, XGBoost:0.00, CatBoost:0.35",0.9281226947075288,0.5833635661165606,0.18107601329504458,0.48598130841121495
LightGBM_XGBoost_CatBoost,"LightGBM:0.45, XGBoost:0.30, CatBoost:0.25",0.9281120306575696,0.5779744620130394,0.19502722490223565,0.46687962340282446
LightGBM_XGBoost_CatBoost,"LightGBM:0.55, XGBoost:0.10, CatBoost:0.35",0.9280181377892718,0.5799737909316197,0.19090522895000664,0.4745176083758761
